,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
1937,Jul,2001,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County ",,,,Hand bitten,N,,
1938,Jul,2001,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",Floating face-down in knee-deep water,M,35,2-inch cut on dorsum of left foot,N,18h30,
1939,Jun,2001,Unprovoked,USA,Texas,Padre Island National Seashore,Swimming,M,14,Leg lacerated,N,,1.5 m [5'] shark
1940,Jun,2001,Provoked,USA,California,Catalina Island,Fishing,M,52,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",N,09h00,"White shark, 2.4 m to 3 m [8' to 10'] "
1941,Jun,2001,Invalid,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),Hiking on the beach,M,75,Remains recovered from gut of a  3.7 m [12'] tiger shark,UNKNOWN,,Shark involvement prior to death was not confirmed
1942,Jun,2001,Unprovoked,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,F,29,3 puncture wounds on each side of her left  hand,N,Shortly before 13h00,2' shark
1943,May,2001,Unprovoked,USA,Texas,Galveston Island,,M,16,Survived,N,,
1944,May,2001,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,M,11,Shin lacerated,N,,1.2 m to 1.5 m [4.5' to 5'] shark
1945,May,2001,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Swimming,M,,5.5-inch laceration on calf,N,19h00,
1946,May,2001,Provoked,PHILIPPINES,Zamboanga del Sur Province,,Fishing,M,24,Arm bitten PROVOKED INCIDENT,N,,
1947,May,2001,Invalid,MADAGASCAR,,Shipwrecked Ferry M/V Samsonnette,,M,,Fatal or drowned & remains scavenged by shark,UNKNOWN,,Shark involvement prior to death was not confirmed
1948,May,2001,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,26,Leg bitten,N,,"White shark, 2.7 m to 3 m [9' to 10'] "
1949,May,2001,Unprovoked,AUSTRALIA,New South Wales,Noraville,Surfing,M,33 or 37,"Chest lacerated, surfboard bitten",N,17h45,
1950,May,2001,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,45,Foot lacerated ,N,19h00,1.2 m to 1.5 m [4' to 5'] shark
1951,May,2001,Unprovoked,FIJI,Taveuni,,"Fishing, carrying his catch",M,,FATAL,Y,,
1952,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,14,4 small lacerations on lower right leg,N,15h49,
1953,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Foot & ankle lacerated,N,11h00,
1954,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,12,Right foot & ankle lacerated,N,10h55,Possibly a juvenile blacktip or spinner shark
1955,Apr,2001,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",,M,mid-30s,Right ankle & lower leg lacerated,N,16h00,
1956,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38,Foot & ankle lacerated,N,16h45,
1957,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Small cuts on big & pinky toes of left foot,N,16h05,Possibly a juvenile blacktip or spinner shark
1958,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,12,Foot & ankle lacerated,N,12h34,Possibly a juvenile blacktip or spinner shark
1959,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,Foot lacerated,N,11h53,Possibly a 1.5 m [5'] blacktip or spinner shark
1960,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Minor cuts on right heel & foot,N,8:04 pm,Possibly a juvenile blacktip or spinner shark
1961,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,Lacerations to top & bottom of left foot,N,12h46,
1962,Apr,2001,Unprovoked,USA,Hawaii,"Ewa Beach, O'ahu",Surfing,M,,Minor punctures & lacerations on left hand ,N,07h00,"1 m shark, possibly whitetip reef shark"
1963,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,,16,Foot lacerated,N,,Possibly a juvenile blacktip or spinner shark
1964,Apr,2001,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,M,46,"Thigh, hip & buttock bitten",N,09h30,"White shark, 2.7 m [9'] "
1965,Apr,2001,Provoked,AUSTRALIA,New South Wales,Bronte Beach,Snorkeling,M,,Wrist lacerated PROVOKED INCIDENT,N,,Wobbegong shark
1966,Apr,2001,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Standing alongside surfboard,M,26,Minor lacerations to dorsum of left foot,N,14h45,"""small shark"""
1967,Apr,2001,Unprovoked,BRAZIL,Rio Grande de Norte,"Praia de Camapum, Macau",Batin,F,12,Left thigh bitten,N,,
1968,Apr,2001,Unprovoked,AUSTRALIA,New South Wales,Nambucca River Entrance,Surfing,M,40,Calf bitten,N,10h00,Bronze whaler shark
1969,Mar,2001,Unprovoked,USA,Hawaii,"Sandy Beach, Oahu",Body-boarding,M,,"Minor cuts on left hand, body board bitten",N,14h40,
1970,Mar,2001,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",Surfing,M,,Fingers & hand lacerated,N,,"Spinner shark, 1.2 m to 1.5 m [4' to 5'] "
1971,Mar,2001,Invalid,BRAZIL,Bahia,Nova Vicosa,Attempting to catch a crocodile,M,12,Lacerations below the knee,UNKNOWN,,Shark involvement not confirmed
1972,Mar,2001,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,20,FATAL,Y,,
1973,Mar,2001,Sea Disaster,CARIBBEAN SEA,,Between St. Maarten & Anguilla,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,,,"Human remains recovered in shark caught off Anguilla, probable scavenging on drowned body",Y,,"Tiger shark, 8' "
1974,Feb,2001,Boating,AUSTRALIA,Western Australia,Albany (incident took place 200 metres from swimmers),Fishing for whiting,,,No injury to occupants,N,,"White shark, 5 m [16.5'] "
1975,Feb,2001,Invalid,MALAYSIA,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),Unknown,F,,Bones recovered by fishermen in 300-kg [662-lb] white sharks gut,UNKNOWN,,Shark involvement prior to death was not confirmed
1976,Feb,2001,Unprovoked,AUSTRALIA,New South Wales,Broome Head,Surfing,M,40,Leg bitten,N,16h15,"Bronze whaler shark, 2.5 m [8.25']  k"
1977,Jan,2001,Boating,AUSTRALIA,New South Wales,South West Rocks,Kayaking,M,35,"No injury, shark rammed & bit kayak",N,,5 m shark
1978,Jan,2001,Unprovoked,CUBA,Holquin Province,Off Blau Costa Verde resort,Swimming,F,55,Left arm bitten,N,,2 m [6.75'] shark
1979,Jan,2001,Boating,AUSTRALIA,South Australia,Adelaide,Fishing,,,No injury to occupants,N,,"White shark, 4.3 m [14'] "
1980,Jan,2001,Unprovoked,USA,California,"Sunset Cliffs, San Diego",Surfing,M,,"Foot bruised, board dinged",N,,"1.8 m to 2.4 m [6' to 8'] ""black finned shark"""
1981,Jan,2001,Boating,NEW ZEALAND,North Island,Sandy Bay/Whananaki,Kayaking,M,,"No injury, kayak bitten",N,,White shark
1982,Dec,2000,Unprovoked,AUSTRALIA,Queensland,Flinders Cay,Scuba diving,M,23,Hand bitten,N,,
1983,Dec,2000,Unprovoked,FIJI,Taveuni,Garden Island Resort,Swimming back from anchored sailboat,M,47,"FATAL, leg severed ",Y,14h30,6 m [20'] shark
1984,Dec,2000,Boating,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",Fishing for whiting,,,No injury to occupants,N,,"White shark, 4.5 m [14'9""] "
1985,Dec,2000,Unprovoked,CANADA,New Brunswick,Bay of Fundy,Diving for sea urchins,M,30,No injury,N,,"Porbeagle shark, 3 m [10']rk"
1986,Dec,2000,Unprovoked,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",Fishing,M,38,Left elbow and forearm bitten,N,09h30,"Bronze whaler shark, 2.5 m [8.25'] "
1987,Dec,2000,Unprovoked,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",Surfing,F,,FATAL,Y,,
1988,Nov,2000,Unprovoked,AUSTRALIA,Queensland,Orpheus Island,Diving (shell maintenance),M,28,"No injury, wetsuit & swimfin torn",N,,"Tiger shark, 4 m "
1989,Nov,2000,Invalid,AUSTRALIA,South Australia,Ceduna,Shipwrecked,M,47,"Missing, thought to have been taken by a shark",UNKNOWN,,Shark involvement not confirmed
1990,Nov,2000,Unprovoked,USA,Florida,"Bonita Springs, Lee County",Swimming,M,73,Right calf lacerated,N,12h00,1.2 m to 1.8 m [4' to 6'] shark
1991,Nov,2000,Invalid,USA,Florida,"Vaughn Beach, Flagler County",Walking,F,27,No injury,UNKNOWN,,Invalid
1992,Nov,2000,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,52,Leg & feet lacerated,N,06h30,"White shark, 4.9 m [16'] "
1993,Nov,2000,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,49,"FATAL, torso bitten, leg severed ",Y,06h30,"White shark, 5 m [16.5'] "
1994,Nov,2000,Unprovoked,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,M,27,Both thighs bitten,N,16h30,"White shark, 2.4 m to 3 m [8' to 10'] "
1995,Oct,2000,Boating,AUSTRALIA,Queensland,Peel Island,Fishing ,,31,"No Injury to occupant, shark holed and sank boat",N,22h00,White shark
1996,Oct,2000,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,M,23,Leg lacerated,N,18h00,
1997,Oct,2000,Unprovoked,USA,Hawaii,Olowalu,Swimming / snorkeling,F,56,Right side of back / torso lacerated,N,11h20,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
1998,Oct,2000,Unprovoked,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,M,69,Right hand lacerated,N,15h30,
1999,Oct,2000,Unprovoked,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,M,17,Foot lacerated,N,Morning,2.1 to 2.4 m [7' to 8'] shark
2000,Oct,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Fingers lacerated,N,14h30,"Blacktip shark, 2' "
2001,Oct,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,11,Right foot & heel lacerated,N,12h48,
2002,Oct,2000,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,M,24,Upper left arm lacerated,N,16h30,
2003,Sep,2000,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Sitting on surfboard,M,,No injury,N,09h00,"White shark, 4.3 m [14']"
2004,Sep,2000,Unprovoked,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",Surfing,M,17,FATAL,Y,13h00,White shark
2005,Sep,2000,Unprovoked,AUSTRALIA,South Australia,Cactus Beach near Penong,Surfing,M,25,FATAL,Y,07h30,"White shark, 4 m to 5 m [13' to 16.5'] "
2006,Sep,2000,Provoked,AUSTRALIA,New South Wales,Wollongong,Fell onto dead shark,M,12,Foot lacerated from toe to heel when he tripped on shark during fishing competition PROVOKED INCIDENT,N,,100-kg [221-lb] dead blue shark
2007,Sep,2000,Unprovoked,OKINAWA,Miyako Island,Sunayama Beach,Surfing,M,31, FATAL,Y,17h00,"White shark, 2.5 m "
2008,Sep,2000,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",,,,Non-fatal,N,,
2009,Sep,2000,Unprovoked,USA,Florida,"Fort Pierce Inlet, St Lucie County",Standing /Surfing,M,49,Right lower leg & ankle lacerated,N,18h00,
2010,Sep,2000,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,F,26,Puncture wounds on knee,N,12h00,
2011,Sep,2000,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming / Surfing,M,25,Finger lacerated,N,13h20,60 cm to 90 cm [2' to 3'] shark
2012,Sep,2000,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,M,8,Minor injury to arm and hand,N,17h42,
2013,Sep,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,Free diving,M,48,Swim fin bitten,N,11h00,"White shark, 3.5 m [11.5']  male "
2014,Sep,2000,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",Swimming,M,28,FATAL,Y,,Thought to involve a Zambesi shark
2015,Sep,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,40,Left foot lacerated ,N,11h45,1.5 m [5'] shark
2016,Sep,2000,Unprovoked,REUNION,Saint-Pierre,Pic du Diable ,Surfing,M,27,Left arm bitten,N,18h05,"Tiger shark, 3 m [10'] "
2017,Sep,2000,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,,,FATAL,Y,,Thought to involve a Zambesi shark
2018,Aug,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,47,Punctures & lacerations on right foot,N,12h35,A 2' shark was seen in the area by witnesses
2019,Aug,2000,Unprovoked,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",Jumped into the water,M,69,FATAL,Y,16h00,"Thought to involve a 2.7 m [9'], 400-lb bull shark"
2020,Aug,2000,Provoked,USA,Alaska,Prince William Sound,Conducting research,M,,Leg bitten by netted shark PROVOKED INCIDENT,N,,Salmon shark
2021,Aug,2000,Unprovoked,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming out to porpoises ,M,,"Severe gash to left hand above wrist, almost severing hand",N,,
2022,Aug,2000,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui","Surfing, but sitting on his board",M,53,Left calf lacerated,N,11h50,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  "
2023,Aug,2000,Unprovoked,USA,Florida,"South Jacksonville Beach, Duval County",Surfing / Wading,M,27,Minor lacerations to the dorsum of the right foot,N,16h30,juvenile shark
2024,Aug,2000,Unprovoked,USA,Florida,"St. Augustine, St. Johns County",Standing,F,44,Severely bitten on lower leg ,N,16h45,"Blacktip shark, 2.4 m to 3 m [8' to 10'] "
2025,Aug,2000,Invalid,USA,North Carolina,"Emerald Isle, Carteret County",Swimming ,M,,Non-fatal,UNKNOWN,Possibly same incident as 2000.08.21,Shark involvement  not confirmed
2026,Aug,2000,Invalid,USA,Florida,Florida Keys,Attempting to illegally enter the USA,M,23 & 20,Shark involvement probably post-mortem,UNKNOWN,,Shark involvement prior to death was not confirmed
2027,Aug,2000,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,,,FATAL,Y,,Thought to involve a Zambesi shark
2028,Jul,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,M,5,Minor laceration on left leg,N,,
2029,Jul,2000,Unprovoked,USA,Florida,"Big Pine Key, Monroe County ",Snorkeling,F,45,Leg pinched,N,,"Nurse shark, 1.5 m [5']"
2030,Jul,2000,Unprovoked,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",Surfing,M,16,Foot lacerated,N,,
2031,Jul,2000,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Surfing,M,14,Minor lacerations on foot,N,,1.8 m [6'] grey-colored shark
2032,Jul,2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,15,Hand lacerated,N,,
2033,Jul,2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,M,18,"No injury, flung off board",N,,
2034,Jul,2000,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,South of Durban,Surfing,M,,No Injury,N,After Dusk,
2035,Jul,2000,Unprovoked, TONGA,Minerva Reef,Treated at Nuku-alofa,Scuba diving,M,69,Left arm bitten,N,,"Grey reef shark, 2 m [6.75'] "
2036,Jul,2000,Unprovoked,USA,Florida,"Daytona  Beach, Volusia County",Wading,M,13,Minor laceration & 3 punctures to right foot,N,15h45,
2037,Jul,2000,Unprovoked,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",Swimming ,M,41,Knee & calf lacerated,N,18h00,
2038,Jul,2000,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Jumping,M,5,Ankle & foot lacerated,N,,"Lemon shark, 2.1  m to 2.4 m [7' to 8'] "
2039,Jul,2000,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",Playing,F,12,Calf lacerated,N,16h30,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?"
2040,Jul,2000,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,20,Left inner thigh,N,18h00,
2041,Jul,2000,Unprovoked,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County","Fishing, holding mesh bag with speared fish",F,55,Lower right calf lacerated,N,12h00,"Nurse shark, 1.2 m [4'] "
2042,Jul,2000,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,13,Left calf & hand lacerated,N,17h00,0.9 m [3'] shark
2043,Jul,2000,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,F,19,Left thigh lacerated,N,14h45,"0.9 m [3'] shark,  probably a blacktip or spinner shark"
2044,Jul,2000,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,,,FATAL,Y,,Thought to involve a Zambesi shark
2045,Jun,2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",,M,,FATAL,Y,,
2046,Jun,2000,Boating,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",Fishing,M,,"No injury, shark bit the dinghy",N,,"Mako shark, 2 m [6.75'] "
2047,Jun,2000,Unprovoked,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Standing,M,52,Right ankle lacerated,N,07h50,
2048,Jun,2000,Boating,USA,Florida,"Pensacola Bay, Escambia County",Sailing,,,"No injury to occupants, boat's rear platform bitten",N,14h30,"Bull shark, 2.4 m [8']"
2049,Jun,2000,Unprovoked,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Surfing,M,17,Foot lacerated,N,16h00,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] "
2050,Jun,2000,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,55,Puncture wounds on right hip and arm,N,06h45,Bull shark?
2051,Jun,2000,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming ,M,44,Right forearm severed surgically amputated above elbow,N,06h45,Bull shark
2052,Jun,2000,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,M,13,Right forearm lacerated,N,14h55,
2053,Jun,2000,Unprovoked,TANZANIA,,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam",Swimming,M,,"FATAL, legs severed  ",Y,,Thought to involve a Zambesi shark
2054,May,2000,Sea Disaster,NEW CALEDONIA,South Province,Mont Dore,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",,,Sharks prevented recovery of remains,Y,,Tiger sharks & bull sharks (20 sharks in all)
2055,May,2000,Invalid,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",,,,Probable drowning,UNKNOWN,,Shark involvement prior to death was not confirmed
2056,May,2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Standing,M,9,Left leg & ankle bitten,N,,
2057,May,2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Diving,M,,FATAL,Y,,
2058,Apr,2000,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Walking,M,34,Left foot lacerated,N,11h57,
2059,Apr,2000,Unprovoked,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",Boogie boarding / wading,M,,Puncture marks on right thigh,N,14h30,
2060,Mar,2000,Unprovoked,USA,Florida,Santa Rosa Sound Escambia County,Fishing,M,,"No Injury, bumped by shark",N,,
2061,Mar,2000,Unprovoked,AUSTRALIA,Queensland,"Main Beach, Gold Coast",Swimming,M,26,Left calf bitten,N,14h00,2.5 m shark
2062,Mar,2000,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Boogie boarding,F,14,Right knee lacerated,N,11h15,1.8 m [6'] shark
2063,Mar,2000,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,37,Left hand bitten,N,14h00,1.2 m [4'] shark
2064,Mar,2000,Unprovoked,NEW CALEDONIA,North Province,Poum,Fishing,M,35,FATAL,Y,Morning,Tiger shark?
2065,Mar,2000,Unprovoked,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",Surfing,M,,No Injury,N,19h30,"Tiger shark, 4 m [13'] ?"
2066,Mar,2000,Boating,AUSTRALIA,New South Wales,Parramatta River,Rowing,,,No Injury to occupants,N,P.M.,2 m to 2.5 m [6.75'  to 8.25'] shark
2067,Mar,2000,Boating,AUSTRALIA,New South Wales,Parramatta River,Rowing,,,No injury to occupants; oar bitten,N,,
2068,Mar,2000,Invalid,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,Kayaking,M,27,Reported as shark attack but probable drowning ,UNKNOWN,,Shark involvement  questionable
2069,Mar,2000,Unprovoked,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",Swimming,M,,Survived,N,,
2070,Mar,2000,Unprovoked,USA,Louisiana,Midnight Lump (38 miles offshore),Fishing,M,39,"No injury to diver, speargun damaged",N,16h00,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] "
2071,Feb,2000,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",,M,27,Right calf bitten,N,Afternoon,
2072,Feb,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,Surfing,M,,Foot bitten,N,14h00,"White shark, 2.5 m "
2073,Feb,2000,Provoked,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Feeding prawns to captive sharks,M,,Fingers bitten PROVOKED INCIDENT,N,,"Miami, a 60 cm blacktip  shark and two 60 cm bamboo catsharks"
2074,Feb,2000,Unprovoked,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,M,12,"No injury, wetsuit punctured",N,,
2075,Feb,2000,Unprovoked,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,M,26,Hand bitten,N,,3 m [10'] shark
2076,Jan,2000,Boating,REUNION,,Saint Pierre,Canoe with 3 men onboard sank,M,,FATAL,Y,,
2077,Jan,2000,Unprovoked,THAILAND,Phang nga Province,Phang nga Island,Diving,M,35,FATAL,Y,,
2078,UNKNOWN,2000,Boating,USA,Florida,"Boca Grande, Lee County",Fishing for tarpon,M,,No injury to occupant; shark bit propeller,N,,Hammerhead shark
2079,Dec,1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Surfing,M,15,Six puncture wounds on  leg,N,,Sevengill shark
2080,Dec,1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Swimming,F,13,Arm bitten,N,,Sevengill shark
2081,Dec,1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Bathing,F,12,A cut on her hand,N,,Sevengill shark
2082,Dec,1999,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,18,"Leg bitten, surgically amputated",N,,"Thought to involve a white, bull or tiger shark"
2083,Dec,1999,Invalid,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands",Scuba diving,M,,"Presumed taken by a shark,  but forensic evidence suggested otherwise.",UNKNOWN,,Shark involvement not confirmed
2084,Dec,1999,Invalid,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",Fishing,M,39,"Lateral right thigh bitten. Thought to involve a 1.2 to 1.5 m tubarão da gralha preta -  a blacktip shark, C. limbatus",N,09h30,Shark involvement not confirmed
2085,Dec,1999,Unprovoked,USA,Florida,"Boynton Beach, Palm Beach County",Surfing,M,35,Right arm & fingers lacerated,N,12h30,
2086,Nov,1999,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,19,Lacerations to hand & wrist,N,15h30,
2087,Nov,1999,Unprovoked,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",Swimming,F,51,"Buttock bitten, hands lacerated",N,17h20,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
2088,Nov,1999,Unprovoked,USA,California,"Waddell Reef, Santa Cruz County",Surfing (sitting on his board),M,,"No injury, board bitten",N,,White shark
2089,Nov,1999,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Surfing,M,35,Lower legs lacerated,N,,"White shark, 3 m [10'] "
2090,Nov,1999,Unprovoked,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay","Fishing, but swimming at surface",M,39,Upper right thigh bitten,N,10h30,1.3 to 1.6 m shark
2091,Nov,1999,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Swimming,M,12,Lacerations to leg,N,,"Grey reef shark, 1.2 m [4'] "
2092,Nov,1999,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Swimming,M,12,Lacerations to buttocks,N,,"Grey reef shark, 1.2 m [4'] "
2093,Oct,1999,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Body boarding,M,45,Right foot lacerated,N,17h30,
2094,Oct,1999,Unprovoked,USA,Florida,"Gulfstream Park beach, Palm Beach County",Surfing,M,13,"Shark bit 8"" chunk from swim fin",N,15h00,
2095,Oct,1999,Unprovoked,USA,Florida,"Pet Den, Satellite Beach, Brevard County",Surfing,M,,Lacerations to right hand & wrist,N,Noon,"Lemon shark, 2.7 m [9'] "
2096,Oct,1999,Unprovoked,USA,Hawaii,Old Kona Airport State Park,"Surfing, lying on surfboard",M,16,Right arm bitten,N,18h30,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
2097,Sep,1999,Unprovoked,USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",Wading to shore Surfing,M,22,3 one-inch lacerations to sole of right foot,N,18h45,
2098,Sep,1999,Boating,ITALY,Adriatic Sea,San Benedetto,Fishing,,,No Injury to occupants,N,,Said to involve a 7 m [23'] white shark
2099,Sep,1999,Unprovoked,USA,California,"North of Pidgeon Point, San Mateo County",Kayaking,M,37,"No injury, but kayak scraped & dented",N,18h30,White shark
2100,Sep,1999,Unprovoked,USA,Florida,"Cape Canaveral, Brevard County",Wading,F,61,Thigh (posterior) bitten,N,,Unidentified
2101,Sep,1999,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Wading,F,10,Toes lacerated,N,Afternoon,
2102,Sep,1999,Unprovoked,USA,Florida,"Fort Pierce Inlet, St. Lucie County",Surfing,M,13,Right foot bitten,N,,1.5 m to 1.8 m [5' to 6'] shark
2103,Sep,1999,Provoked,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",Wading,M,7,Left knee nipped by captive shark PROVOKED INCIDENT,N,,0.9 m [3'] shark
2104,Sep,1999,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Wading with surfboard,M,39,Right foot bitten,N,19h00,
